profile,grid_x,grid_y,reynolds,collision_model,niters,type,rel,abs,rel_percent,rmse,rmse_ref_percent,linf,linf_ref_percent,runtime_s,threads,mlups
uy,200,200,1000,TRT,100000,L2,4.67256977e-02,6.00080597e-02,4.672570,1.45540923e-02,1.455409,2.83760560e-02,2.837606,40.069743,16,99.825946
ux,200,200,1000,TRT,100000,L2,3.23077360e-02,5.44763512e-02,3.230774,1.32124559e-02,1.321246,3.78296692e-02,3.782967,40.069743,16,99.825946
